"filename", "language", "TOML", "Markdown", "Rust", "Slang", "JSON", "comment", "blank", "total"
"/home/andrew-peterson/code/laniusc/.cargo/config.toml", "TOML", 7, 0, 0, 0, 0, 3, 2, 12
"/home/andrew-peterson/code/laniusc/.rustfmt.toml", "TOML", 4, 0, 0, 0, 0, 7, 4, 15
"/home/andrew-peterson/code/laniusc/Cargo.lock", "TOML", 1590, 0, 0, 0, 0, 2, 194, 1786
"/home/andrew-peterson/code/laniusc/Cargo.toml", "TOML", 27, 0, 0, 0, 0, 0, 6, 33
"/home/andrew-peterson/code/laniusc/LEXING.md", "Markdown", 0, 69, 0, 0, 0, 0, 44, 113
"/home/andrew-peterson/code/laniusc/PARSING_PLAN.md", "Markdown", 0, 150, 0, 0, 0, 0, 72, 222
"/home/andrew-peterson/code/laniusc/README.md", "Markdown", 0, 26, 0, 0, 0, 0, 17, 43
"/home/andrew-peterson/code/laniusc/build.rs", "Rust", 0, 0, 168, 0, 0, 8, 24, 200
"/home/andrew-peterson/code/laniusc/lexer_tests/line_comment_eof.tokens.json", "JSON", 0, 0, 0, 0, 28, 0, 0, 28
"/home/andrew-peterson/code/laniusc/lexer_tests/operators_mix.tokens.json", "JSON", 0, 0, 0, 0, 100, 0, 0, 100
