"filename", "language", "TOML", "Markdown", "Rust", "Slang", "comment", "blank", "total"
"/home/andrew-peterson/code/laniusc/Cargo.lock", "TOML", 195, 0, 0, 0, 0, 23, 218
"/home/andrew-peterson/code/laniusc/Cargo.toml", "TOML", 3, 0, 0, 0, 0, 0, 3
"/home/andrew-peterson/code/laniusc/LEXING_ADDITIONAL.md", "Markdown", 0, 150, 0, 0, 0, 72, 222
"/home/andrew-peterson/code/laniusc/LLM_REMINDERS.md", "Markdown", 0, 3, 0, 0, 0, 0, 3
"/home/andrew-peterson/code/laniusc/PARSING.md", "Markdown", 0, 47, 0, 0, 0, 25, 72
"/home/andrew-peterson/code/laniusc/PARSING_PLAN.md", "Markdown", 0, -150, 0, 0, 0, -72, -222
"/home/andrew-peterson/code/laniusc/build.rs", "Rust", 0, 0, 4, 0, 0, 0, 4
"/home/andrew-peterson/code/laniusc/deny.toml", "TOML", 55, 0, 0, 0, 175, 15, 245
"/home/andrew-peterson/code/laniusc/shaders/lexer/apply_block_prefix_downsweep.slang", "Slang", 0, 0, 0, -83, -6, -11, -100
"/home/andrew-peterson/code/laniusc/shaders/lexer/boundary_finalize_and_seed.slang", "Slang", 0, 0, 0, 60, 0, 18, 78
"/home/andrew-peterson/code/laniusc/shaders/lexer/build_tokens.slang", "Slang", 0, 0, 0, -30, -6, -8, -44
"/home/andrew-peterson/code/laniusc/shaders/lexer/compact_boundaries.slang", "Slang", 0, 0, 0, 18, 9, 3, 30
"/home/andrew-peterson/code/laniusc/shaders/lexer/dfa_01_scan_inblock.slang", "Slang", 0, 0, 0, 122, 13, 21, 156
"/home/andrew-peterson/code/laniusc/shaders/lexer/dfa_02_scan_block_summaries.slang", "Slang", 0, 0, 0, 54, 6, 13, 73
"/home/andrew-peterson/code/laniusc/shaders/lexer/dfa_03_apply_block_prefix.slang", "Slang", 0, 0, 0, 119, 7, 20, 146
"/home/andrew-peterson/code/laniusc/shaders/lexer/finalize_boundaries_and_seed.slang", "Slang", 0, 0, 0, -57, -13, -19, -89
"/home/andrew-peterson/code/laniusc/shaders/lexer/pair_01_sum_inblock.slang", "Slang", 0, 0, 0, 51, 8, 11, 70
"/home/andrew-peterson/code/laniusc/shaders/lexer/pair_02_scan_block_totals.slang", "Slang", 0, 0, 0, 46, 6, 8, 60
"/home/andrew-peterson/code/laniusc/shaders/lexer/pair_03_apply_block_prefix.slang", "Slang", 0, 0, 0, 53, 5, 13, 71
"/home/andrew-peterson/code/laniusc/shaders/lexer/scan_block_summaries_inclusive.slang", "Slang", 0, 0, 0, -55, -3, -8, -66
"/home/andrew-peterson/code/laniusc/shaders/lexer/scan_inblock_inclusive.slang", "Slang", 0, 0, 0, -81, -6, -10, -97
"/home/andrew-peterson/code/laniusc/shaders/lexer/sum_apply_block_prefix_downsweep_pairs.slang", "Slang", 0, 0, 0, -53, -5, -13, -71
"/home/andrew-peterson/code/laniusc/shaders/lexer/sum_inblock_pairs.slang", "Slang", 0, 0, 0, -51, -8, -11, -70
"/home/andrew-peterson/code/laniusc/shaders/lexer/sum_scan_block_totals_inclusive.slang", "Slang", 0, 0, 0, -40, -3, -6, -49
"/home/andrew-peterson/code/laniusc/shaders/lexer/tokens_build.slang", "Slang", 0, 0, 0, 30, 6, 8, 44
