Date : 2025-08-17 15:20:01
Directory : /home/andrew-peterson/code/laniusc
Total : 88 files,  3589 codes, 403 comments, 548 blanks, all 4540 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/andrew-peterson/code/laniusc/shaders/reminders.md                                           | Markdown |        -23 |          0 |          0 |        -23 |
| /home/andrew-peterson/code/laniusc/src/bin/fuzz_lex.rs                                            | Rust     |        -92 |         -3 |        -12 |       -107 |
| /home/andrew-peterson/code/laniusc/src/bin/gen_lex_tables.rs                                      | Rust     |         56 |          5 |         11 |         72 |
| /home/andrew-peterson/code/laniusc/src/bin/gen_parse_tables.rs                                    | Rust     |         91 |         25 |         15 |        131 |
| /home/andrew-peterson/code/laniusc/src/bin/gen_tables.rs                                          | Rust     |        -56 |         -5 |        -11 |        -72 |
| /home/andrew-peterson/code/laniusc/src/bin/parse_demo.rs                                          | Rust     |        117 |          3 |         17 |        137 |
| /home/andrew-peterson/code/laniusc/src/bin/perf_one.rs                                            | Rust     |        -46 |        -10 |        -11 |        -67 |
| /home/andrew-peterson/code/laniusc/src/bin/recount_compact.rs                                     | Rust     |         20 |          2 |          5 |         27 |
| /home/andrew-peterson/code/laniusc/src/dev/generator.rs                                           | Rust     |        116 |         18 |         16 |        150 |
| /home/andrew-peterson/code/laniusc/src/dev/mod.rs                                                 | Rust     |          1 |          0 |          1 |          2 |
| /home/andrew-peterson/code/laniusc/src/gpu/buffers.rs                                             | Rust     |        125 |         15 |         13 |        153 |
| /home/andrew-peterson/code/laniusc/src/gpu/debug.rs                                               | Rust     |         50 |          8 |          8 |         66 |
| /home/andrew-peterson/code/laniusc/src/gpu/device.rs                                              | Rust     |         65 |          4 |         14 |         83 |
| /home/andrew-peterson/code/laniusc/src/gpu/mod.rs                                                 | Rust     |          5 |          1 |          2 |          8 |
| /home/andrew-peterson/code/laniusc/src/gpu/passes_core.rs                                         | Rust     |        291 |          4 |         35 |        330 |
| /home/andrew-peterson/code/laniusc/src/gpu/timer.rs                                               | Rust     |        101 |          9 |         14 |        124 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/buffers.rs                                       | Rust     |        -70 |        -11 |         -4 |        -85 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/debug.rs                                         | Rust     |        -16 |          3 |          0 |        -13 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/debug_checks.rs                                  | Rust     |        870 |         56 |         93 |      1,019 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/debug_host.rs                                    | Rust     |         81 |          3 |         20 |        104 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/driver.rs                                        | Rust     |        364 |          3 |         47 |        414 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/mod.rs                                           | Rust     |       -381 |        -24 |        -51 |       -456 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/apply_block_prefix_downsweep.rs           | Rust     |        -64 |          0 |         -7 |        -71 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/boundary_finalize_and_seed.rs             | Rust     |         92 |          0 |         12 |        104 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/build_tokens.rs                           | Rust     |        -64 |          0 |         -6 |        -70 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/compact_boundaries_all.rs                 | Rust     |          4 |         -3 |         -1 |          0 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/compact_boundaries_kept.rs                | Rust     |          4 |         -2 |         -1 |          1 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/dfa_01_scan_inblock.rs                    | Rust     |         66 |          0 |          9 |         75 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/dfa_02_scan_block_summaries.rs            | Rust     |        192 |          3 |         28 |        223 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/dfa_03_apply_block_prefix.rs              | Rust     |        100 |          0 |         12 |        112 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/finalize_boundaries_and_seed.rs           | Rust     |       -120 |          0 |        -17 |       -137 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/mod.rs                                    | Rust     |       -123 |        -17 |        -12 |       -152 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/pair_01_sum_inblock.rs                    | Rust     |         66 |          0 |          7 |         73 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/pair_02_scan_block_totals.rs              | Rust     |        206 |          1 |         25 |        232 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/pair_03_apply_block_prefix.rs             | Rust     |        104 |          0 |         13 |        117 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/retag_calls_and_arrays.rs                 | Rust     |          4 |         -6 |          0 |         -2 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/scan_block_summaries_inclusive.rs         | Rust     |       -154 |         -3 |        -20 |       -177 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/scan_inblock_inclusive_pass.rs            | Rust     |        -69 |          0 |         -8 |        -77 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/sum_apply_block_prefix_downsweep_pairs.rs | Rust     |        -52 |          0 |         -7 |        -59 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/sum_inblock_pairs.rs                      | Rust     |        -47 |         -1 |         -7 |        -55 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/sum_scan_block_totals_inclusive.rs        | Rust     |       -145 |         -2 |        -19 |       -166 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/tokens_build.rs                           | Rust     |         68 |          0 |          6 |         74 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/timer.rs                                         | Rust     |        -97 |         -3 |        -12 |       -112 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/types.rs                                         | Rust     |         25 |          1 |          6 |         32 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/util.rs                                          | Rust     |         50 |          6 |         12 |         68 |
| /home/andrew-peterson/code/laniusc/src/lexer/tables/tokens.rs                                     | Rust     |          1 |          0 |          0 |          1 |
| /home/andrew-peterson/code/laniusc/src/lib.rs                                                     | Rust     |          4 |          0 |          0 |          4 |
| /home/andrew-peterson/code/laniusc/src/parser/gpu/buffers.rs                                      | Rust     |        181 |         18 |         32 |        231 |
| /home/andrew-peterson/code/laniusc/src/parser/gpu/debug.rs                                        | Rust     |         17 |          6 |          6 |         29 |
| /home/andrew-peterson/code/laniusc/src/parser/gpu/driver.rs                                       | Rust     |        296 |         27 |         36 |        359 |
| /home/andrew-peterson/code/laniusc/src/parser/gpu/mod.rs                                          | Rust     |          5 |          1 |          2 |          8 |
| /home/andrew-peterson/code/laniusc/src/parser/gpu/passes/brackets_match.rs                        | Rust     |         88 |          2 |         10 |        100 |
| /home/andrew-peterson/code/laniusc/src/parser/gpu/passes/llp_pairs.rs                             | Rust     |         61 |          0 |         10 |         71 |
| /home/andrew-peterson/code/laniusc/src/parser/gpu/passes/mod.rs                                   | Rust     |          6 |          2 |          2 |         10 |
| /home/andrew-peterson/code/laniusc/src/parser/gpu/passes/pack_varlen.rs                           | Rust     |         97 |          1 |         12 |        110 |
| /home/andrew-peterson/code/laniusc/src/parser/mod.rs                                              | Rust     |          2 |          0 |          1 |          3 |
| /home/andrew-peterson/code/laniusc/src/parser/tables.rs                                           | Rust     |        342 |         56 |         47 |        445 |
| /home/andrew-peterson/code/laniusc/src/type_checker/mod.rs                                        | Rust     |          0 |          0 |          1 |          1 |
| /home/andrew-peterson/code/laniusc/tests/size_sweep.rs                                            | Rust     |        154 |         11 |         17 |        182 |
| Total                                                                                             |          |      3,589 |        403 |        548 |      4,540 |
+---------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
