"filename", "language", "TOML", "Markdown", "Rust", "JSON", "Slang", "comment", "blank", "total"
"/home/andrew-peterson/code/laniusc/src/lexer/gpu/driver.rs", "Rust", 0, 0, 364, 0, 0, 3, 47, 414
"/home/andrew-peterson/code/laniusc/src/lexer/gpu/mod.rs", "Rust", 0, 0, 13, 0, 0, 3, 4, 20
"/home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/boundary_finalize_and_seed.rs", "Rust", 0, 0, 92, 0, 0, 0, 12, 104
"/home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/compact_boundaries_all.rs", "Rust", 0, 0, 83, 0, 0, 0, 8, 91
"/home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/compact_boundaries_kept.rs", "Rust", 0, 0, 94, 0, 0, 0, 8, 102
"/home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/dfa_01_scan_inblock.rs", "Rust", 0, 0, 66, 0, 0, 0, 9, 75
"/home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/dfa_02_scan_block_summaries.rs", "Rust", 0, 0, 192, 0, 0, 3, 28, 223
"/home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/dfa_03_apply_block_prefix.rs", "Rust", 0, 0, 100, 0, 0, 0, 12, 112
"/home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/mod.rs", "Rust", 0, 0, 175, 0, 0, 0, 23, 198
"/home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/pair_01_sum_inblock.rs", "Rust", 0, 0, 66, 0, 0, 0, 7, 73
"/home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/pair_02_scan_block_totals.rs", "Rust", 0, 0, 206, 0, 0, 1, 25, 232
"/home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/pair_03_apply_block_prefix.rs", "Rust", 0, 0, 104, 0, 0, 0, 13, 117
"/home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/retag_calls_and_arrays.rs", "Rust", 0, 0, 66, 0, 0, 0, 8, 74
"/home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/tokens_build.rs", "Rust", 0, 0, 68, 0, 0, 0, 6, 74
"/home/andrew-peterson/code/laniusc/src/lexer/gpu/types.rs", "Rust", 0, 0, 25, 0, 0, 1, 6, 32
"/home/andrew-peterson/code/laniusc/src/lexer/gpu/util.rs", "Rust", 0, 0, 50, 0, 0, 6, 12, 68
"/home/andrew-peterson/code/laniusc/src/lexer/mod.rs", "Rust", 0, 0, 3, 0, 0, 1, 1, 5
"/home/andrew-peterson/code/laniusc/src/lexer/tables/build.rs", "Rust", 0, 0, 157, 0, 0, 11, 25, 193
"/home/andrew-peterson/code/laniusc/src/lexer/tables/compact.rs", "Rust", 0, 0, 59, 0, 0, 10, 12, 81
"/home/andrew-peterson/code/laniusc/src/lexer/tables/dfa.rs", "Rust", 0, 0, 269, 0, 0, 19, 35, 323
"/home/andrew-peterson/code/laniusc/src/lexer/tables/io.rs", "Rust", 0, 0, 186, 0, 0, 17, 27, 230
"/home/andrew-peterson/code/laniusc/src/lexer/tables/mod.rs", "Rust", 0, 0, 15, 0, 0, 4, 3, 22
"/home/andrew-peterson/code/laniusc/src/lexer/tables/tokens.rs", "Rust", 0, 0, 49, 0, 0, 10, 9, 68
"/home/andrew-peterson/code/laniusc/src/lib.rs", "Rust", 0, 0, 6, 0, 0, 0, 1, 7
"/home/andrew-peterson/code/laniusc/src/main.rs", "Rust", 0, 0, 20, 0, 0, 2, 4, 26
"/home/andrew-peterson/code/laniusc/src/parser/gpu/buffers.rs", "Rust", 0, 0, 181, 0, 0, 18, 32, 231
"/home/andrew-peterson/code/laniusc/src/parser/gpu/debug.rs", "Rust", 0, 0, 17, 0, 0, 6, 6, 29
"/home/andrew-peterson/code/laniusc/src/parser/gpu/driver.rs", "Rust", 0, 0, 296, 0, 0, 27, 36, 359
"/home/andrew-peterson/code/laniusc/src/parser/gpu/mod.rs", "Rust", 0, 0, 5, 0, 0, 1, 2, 8
"/home/andrew-peterson/code/laniusc/src/parser/gpu/passes/brackets_match.rs", "Rust", 0, 0, 88, 0, 0, 2, 10, 100
"/home/andrew-peterson/code/laniusc/src/parser/gpu/passes/llp_pairs.rs", "Rust", 0, 0, 61, 0, 0, 0, 10, 71
"/home/andrew-peterson/code/laniusc/src/parser/gpu/passes/mod.rs", "Rust", 0, 0, 6, 0, 0, 2, 2, 10
"/home/andrew-peterson/code/laniusc/src/parser/gpu/passes/pack_varlen.rs", "Rust", 0, 0, 97, 0, 0, 1, 12, 110
"/home/andrew-peterson/code/laniusc/src/parser/mod.rs", "Rust", 0, 0, 2, 0, 0, 0, 1, 3
"/home/andrew-peterson/code/laniusc/src/parser/tables.rs", "Rust", 0, 0, 342, 0, 0, 56, 47, 445
"/home/andrew-peterson/code/laniusc/src/reflection.rs", "Rust", 0, 0, 333, 0, 0, 19, 30, 382
"/home/andrew-peterson/code/laniusc/src/type_checker/mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 1, 1
"/home/andrew-peterson/code/laniusc/tests/size_sweep.rs", "Rust", 0, 0, 154, 0, 0, 11, 17, 182
"Total", "-", 1881, 350, 7274, 208, 966, 706, 1593, 12978
