Date : 2025-08-17 15:20:01
Directory : /home/andrew-peterson/code/laniusc
Total : 87 files,  10679 codes, 706 comments, 1593 blanks, all 12978 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/andrew-peterson/code/laniusc/src/bin/fuzz_lex.rs                                 | Rust     |        497 |          0 |         47 |        544 |
| /home/andrew-peterson/code/laniusc/src/bin/gen_lex_tables.rs                           | Rust     |         56 |          5 |         11 |         72 |
| /home/andrew-peterson/code/laniusc/src/bin/gen_parse_tables.rs                         | Rust     |         91 |         25 |         15 |        131 |
| /home/andrew-peterson/code/laniusc/src/bin/parse_demo.rs                               | Rust     |        117 |          3 |         17 |        137 |
| /home/andrew-peterson/code/laniusc/src/bin/perf_one.rs                                 | Rust     |        184 |          0 |         19 |        203 |
| /home/andrew-peterson/code/laniusc/src/bin/recount_compact.rs                          | Rust     |         20 |          2 |          5 |         27 |
| /home/andrew-peterson/code/laniusc/src/dev/generator.rs                                | Rust     |        116 |         18 |         16 |        150 |
| /home/andrew-peterson/code/laniusc/src/dev/mod.rs                                      | Rust     |          1 |          0 |          1 |          2 |
| /home/andrew-peterson/code/laniusc/src/gpu/buffers.rs                                  | Rust     |        125 |         15 |         13 |        153 |
| /home/andrew-peterson/code/laniusc/src/gpu/debug.rs                                    | Rust     |         50 |          8 |          8 |         66 |
| /home/andrew-peterson/code/laniusc/src/gpu/device.rs                                   | Rust     |         65 |          4 |         14 |         83 |
| /home/andrew-peterson/code/laniusc/src/gpu/mod.rs                                      | Rust     |          5 |          1 |          2 |          8 |
| /home/andrew-peterson/code/laniusc/src/gpu/passes_core.rs                              | Rust     |        291 |          4 |         35 |        330 |
| /home/andrew-peterson/code/laniusc/src/gpu/timer.rs                                    | Rust     |        101 |          9 |         14 |        124 |
| /home/andrew-peterson/code/laniusc/src/lexer/cpu.rs                                    | Rust     |        120 |         11 |         20 |        151 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/buffers.rs                            | Rust     |        156 |          0 |         34 |        190 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/debug.rs                              | Rust     |         46 |          5 |         13 |         64 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/debug_checks.rs                       | Rust     |        870 |         56 |         93 |      1,019 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/debug_host.rs                         | Rust     |         81 |          3 |         20 |        104 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/driver.rs                             | Rust     |        364 |          3 |         47 |        414 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/mod.rs                                | Rust     |         13 |          3 |          4 |         20 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/boundary_finalize_and_seed.rs  | Rust     |         92 |          0 |         12 |        104 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/compact_boundaries_all.rs      | Rust     |         83 |          0 |          8 |         91 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/compact_boundaries_kept.rs     | Rust     |         94 |          0 |          8 |        102 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/dfa_01_scan_inblock.rs         | Rust     |         66 |          0 |          9 |         75 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/dfa_02_scan_block_summaries.rs | Rust     |        192 |          3 |         28 |        223 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/dfa_03_apply_block_prefix.rs   | Rust     |        100 |          0 |         12 |        112 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/mod.rs                         | Rust     |        175 |          0 |         23 |        198 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/pair_01_sum_inblock.rs         | Rust     |         66 |          0 |          7 |         73 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/pair_02_scan_block_totals.rs   | Rust     |        206 |          1 |         25 |        232 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/pair_03_apply_block_prefix.rs  | Rust     |        104 |          0 |         13 |        117 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/retag_calls_and_arrays.rs      | Rust     |         66 |          0 |          8 |         74 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/passes/tokens_build.rs                | Rust     |         68 |          0 |          6 |         74 |
| /home/andrew-peterson/code/laniusc/src/lexer/gpu/types.rs                              | Rust     |         25 |          1 |          6 |         32 |
